id,k,original_nodes,original_edges,original_girth,original_vertex_connectivity,original_edge_connectivity,result_nodes,result_girth,result_vertex_connectivity,result_edge_connectivity,has_articulation,girth_preserved,is_k_regular,hamiltonian,original_graph6,result_graph6
10,3,44,66,5,3,3,88,5,3,3,False,True,True,,ksP@@GOC_??@?A?A????@??g??_??_??_??@???G??@???A???C???a???@_???????@C????o????_????C??E?@????PO???CO??`???A@?????__????C???P?@??C??A?@??@??O@???OAA???A?GA???C?,~?@W`_c@@?CA?A?@?A??`?OG?_?@??CC?AA??_??C??@???A???A?A?@?@??O???A????G?G??O?O??O????G????G????@?????C?@???G?A?????????@??_?????????O?@????G?_????O?_???COC????AG@????_?@????C??C???????P???????a???????A????????_???????_???????@???G????_???O????_???????A?????????_?????G?@??????@??C?????????Q?????????o?????????_?????????O?????????C??????????_??????????G??????????O?????????B??????????C_??????????C??????????A?????@?????G?????A????@????????????g???????????S???????????C????????????_?????O?????AC????A??????C_?????????A????????????C??????????????A@????????????O_???????????@@????????????AA?????_???????A?????O???????@??????????_??GO?????????O??CA
11,3,20,30,5,3,3,40,5,3,3,False,True,True,True,SsP@@?OC???`?I?a???OB?PG?Q_Q_?L??,g`_c@@?CA?A?@?A??_?O??_?@??C??A???O??G???`C?CAG?A???@???@P???IG???_G??@?O??@?C???_A???G????@?????C?@???G?A????aG????PC???C?O_???_AO
12,3,28,42,6,3,3,56,6,3,3,False,True,True,,[sP@@?OC???@?A?A??G?@??G??O?G_?G??QGAG_?H?O?G?g@_?OA_@??AG??A?C@,w`_S?__O@?G?A?@?@??G??_?@??C??A???_G?C@?@C??AG??AO??@_??@@???GG???G????O???@?????_????A?????O????C?C???G?G????????????_???????????@???G?C_???O?__?????S??????H????@G@?????`?C?????CA??????GA????????_???????O???????@O???????I????GC??_????O_?@????OO??@????GG???_
13,3,50,75,6,3,3,100,6,3,3,False,True,True,,qsP@@?OC???@?A?A??_?G??_?A??????C??A???_??A???G???????A_???o?@?C????????CG???OO??O?O???`????G@????_C???AC???G??H??A??E??G?A???A??A??_C???CG?C???_???????A?_???CA_????A@C?????_????????_?_???@AG?????A?S?????A?,~?@c`_S?__O@?G?A?@?@??G??_?@??C??A???_??C??@?O?A?_?A???@???@?O??GA???_???@????CO???AG????_????C????@C????AG??????????????_???????????@??????_??????_?????C??????@??????@???????C?????PA??????aA???????A???????@????CO?@?????a??G?????A??_?????C?@????@???C?????_??A?????????_????????C????????@?C???????A?G????????_?????????O?????????O_????????AO??????????????????????G?????????????????????C??????????G???????????_??????????O???????????O??????????@????????????O???????????_???????????A??????????C?G??????????_?O??????????C@???????????A?_??????????A?G???????????O@??????????@??O??????????A??_?????????????`?????????????Q?????????????OC????????????A?_????????????GO?????????????Q?????????????@?O?????????????_G??????????G???AA?????????@????OO?????????@????o??????????A???C_????Gg??????????????CS?????????????@O@??????????????I?G??????????
14,3,24,36,3,3,3,48,5,3,3,False,False,True,True,WsP@PGOCG??@?AAA??_CG?????G??oG@O?@C?O`??c@?CCO,o`_S?__O@?G?AC@G@@?GG?O?A??A?GC?O?O??G???O???_???_???O???C????_???@????G????C????A?????O?????_G??@??????G@????Cg????GQ????`A????OGG???C?O????_A?????CG?????AO?????G??@????G?@G???G??C????A?@@
15,3,40,60,5,3,3,80,5,3,3,False,True,True,,gsP@@?OD???H?aAE????@@?GAC_??O??c??A??C????_??A???GA???_C??O??A?????C????O???@O????O????E????@O?C?O?????_H???A?G?O?@??_???GA?@?@??@,~?@O`_c@@?CA?A?@?A??_?O??_?@??CO?AG??_??C??@?C?A?G?A???@????O???A????_???@????@??O??_?G??_????C?????O?????_????A?????@??????@CO????Ga?????G??????O?????AO????????C???????????`??G??????@???????G???????G???????O????G???O???C???A?????A??G?????C??O???????C????????A????_?A??G???C??O?@???????OO????????__??????G?A???????C?@???????C???@??????_???G??????A???_??????C??@???@??O????????_?G??????????A???????????O?????????????C?@?????????G?A?????????_???????????O????????????@@???????????GG??????????GG_??????????OP???????????CD???????????AA_
16,3,56,84,5,3,3,112,5,3,3,False,True,True,,wsP@@?OC???@?A?A????@??W?A_?G??G???P??C_?C???@????G???_??G_???A_???A????G????GG???GO???@?????O????C?_???OC????A??????_?????@?????@???????_G????A??????AGO????AO??????O?_????C??????@?_O????CC@???@O???O???D???G??A????G??@???@?G????A???O????A??@??????OG?_????@?O,~?@o`_S?__O@?G?A?@?@??G??_?@??C??A???_??C??@???A???A???@???@????G????_???@????C????A?????_????C????@?@???A?A???A?????@?????@??????G??????_??_??@??@???C??@???A???_??????????????G??????????????@???????G???????A???????C????????O???????C????????C????????_????????G????????A?????????O????????C?????????G?????????G?????????C?????C???CC?????_???__?????????G_??????????G?????????a???????????C????????A?C?????????O?O????????G?G????????@??G??????????_???????????O??????????_???????????O????????A???_?A??????C??@??C???????????@?????????????_??????????G????????????@???????C?????O???????G?????_???????????????_A????????????O@????O???????OC????A???????A?_?????????????_?????????????@??????@???????C???????_??????A??????????????_?@????????????C??_????@??????@??O?????A??????A??_???C?????????G?????G?????????C?????@??????????O?????G?????????A???????O?????????C?????A??????????_?????O?????????O??????G?????????G?????G?A?????????A????@??O?????????O????_??C????????@????C???G????????A??????_G??????????_?????OC??????????O????@?@??????????_?????G?G?????????O?
17,3,42,63,4,3,3,84,4,3,3,False,True,True,,isP@@OQD???@?A?A????@??G??_?????c??A???_?C@??`@??C????O_?_???C????A?G???_O?A??_?A?@???C?G???C@????a????_O?A????O@????__C???@?C????G?C???CG@????_O,~?@S`_S?__O@?G?A?@?@C?G_?__@@?CO?AG??_??C???O@??_A??_???O???C?O??_A??A????C????C?O??A?G??????????G??????????@?????G?????@?????C??????G?????A??????O??????O??????_??????AG??????P??????C???????G????G??G_???C??CO???@??C@????G??_G?????????????????G?????????????????C??????G?G??????@??_????????O?????????O????????@??????????O?????????_?????????A????????_?G???????@??O????C?????P????A?????G_????_????GG????C????@@??????????C???????????G????????C???A???????G???@???????????@????????????G??????????g???????????@O?????????O???A????????G???C?????G???????g????@???????D?????C??????@C?????G??????AG
18,3,44,66,5,3,3,88,5,3,3,False,True,True,,ksP@@GOC_??@?A?A??_?G??g?A???_??C??A???????_??A???C???A??CGG??OI???A???C??????G????G???CA???OA??AG????I????_?G?@?O???Q@????O?O??C@??G???C??_?AG??G???A@??_@???O,~?@W`_c@@?CA?A?@?A??`?OG?_?@??CC?AA??_??C??@???A???A?A?@?@??O???A????G????O????O????G????G????@?????C?@???G?A????????????_???????????@??????_??????_?????C??????@??????@???????C??????A???????A???????AG??????@C??????@????????G?????G??a?????O?@C?????O?C@?????G?A?_???????_????????C?????????O?????????_?????????_?????????O?????????C??????????_??????????I??????????S?????_O???O????@?G???G??????_????G?????C????@???????????????????????@????????????????????????_?????????O@??????????A?C???G?_?????A????O@??????A?????????@C?G??????????a?A?????A??????c??????O?????CO???@????????@????A????????A????A??????G??A???@??????C??@????P?????C???????AG?????_???
19,3,46,69,5,3,3,92,5,3,3,False,True,True,,msP@@GOC_??@?A?A??_?G??g?A??@???C??Q??@????_??A??@???AO_??@O??A????@????GG????O??@?_????O???@?????@??????`??S?????O??C?A????OC???A??G????W?_??AO?O???CG?O????O?@????_O@????G?O,~?@[`_c@@?CA?A?@?A??__OO?_?@??CC?AA??O??G???_??C???A?A?@?@??O???A????C?G??_?O??O????G????G????@?????C?@???G?A????????????_???????????@??????_??????_?????C??????@??????@???????C??????A???????A???????AG??????@C??????@????????G??????A?a??????C@C?????@?C???????_A?????????_????????C?????????O@????????_A????????_?????????O?????????C??????????_?????????G?_????????O@?????????@C??????????a???????????A???????????O???@?????O@????A?????_A??????????G???????????C???????????C????????????_???????????A?_??????????C@????????????C????????????A?????????????a????????????CO????C???C??@??????G???G??A????A????????A????@????????@?????P??????C??????AG??????_?????G?_???????G????O@????????O???@?????????CC????_????????AA?
